Current1,Current2,Current3,Current4,Current5,Current6,Current7,Turns1,Turns2,Turns3,Turns4,Turns5,Turns6,Turns7
0.0,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,-1,-1,-1,-1,-1,-1,-1
0.0,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,-1,-1,-1,-1,-1,-1,-1
0.0,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,-1,-1,-1,-1,-1,-1,-1
0.0,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,0.0,-1,-1,-1,-1,-1,-1
0.026898575946688652,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,0.1,-1,-1,-1,-1,-1,-1
0.0403478629887104,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,0.2,-1,-1,-1,-1,-1,-1
0.029588432982563972,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,0.30000000000000004,-1,-1,-1,-1,-1,-1
0.03765800595283508,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,0.4,-1,-1,-1,-1,-1,-1
0.0806957259774208,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,0.5,-1,-1,-1,-1,-1,-1
0.01882900297641754,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,0.6,-1,-1,-1,-1,-1,-1
0.0053797150030732155,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,0.7,-1,-1,-1,-1,-1,-1
0.0026898575015366077,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,0.7999999999999999,-1,-1,-1,-1,-1,-1
0.013449287973344326,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,0.8999999999999999,-1,-1,-1,-1,-1,-1
0.010759430006146431,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,0.9999999999999999,-1,-1,-1,-1,-1,-1
0.01882900297641754,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,1.0999999999999999,-1,-1,-1,-1,-1,-1
0.03765800595283508,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,1.2,-1,-1,-1,-1,-1,-1
0.03765800595283508,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,1.3,-1,-1,-1,-1,-1,-1
0.0403478629887104,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,1.4000000000000001,-1,-1,-1,-1,-1,-1
0.043037720024585724,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,1.5000000000000002,-1,-1,-1,-1,-1,-1
0.0403478629887104,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,1.6000000000000003,-1,-1,-1,-1,-1,-1
0.043037720024585724,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,1.7000000000000004,-1,-1,-1,-1,-1,-1
0.043037720024585724,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,1.8000000000000005,-1,-1,-1,-1,-1,-1
0.043037720024585724,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,1.9000000000000006,-1,-1,-1,-1,-1,-1
0.06455658376216888,0.0,0.0,-0.0026898575015366077,0.0,0.0,-0.0026898575015366077,2.0000000000000004,-1,-1,-1,-1,-1,-1
